<PRE>                                                                                         
                                                                    Fant             Fant
Rk                      Player FantPt Season Age   Team G GS FantPt  PPR FantPt PPR/G Pos
329         Darnell Washington    4.0   2025  24    PIT 4  3    4.0  7.0   1.00  1.75  TE
330             Andrei Iosivas    3.9   2025  26    CIN 4  1    3.9  5.9   0.98  1.48  WR
331                Dawson Knox    3.9   2025  29    BUF 4  4    3.9  7.9   0.98  1.98  TE
332                 Noah Brown    3.6   2025  29    WAS 2  2    3.6  6.6   1.80  3.30  WR
333               Xavier Smith    3.6   2025  28    LAR 5  0    3.6  4.6   0.72  0.92  WR
334                 Cade Otton    3.4   2025  26    TAM 4  4    3.4  9.4   0.85  2.35  TE
335                  Jack Bech    3.3   2025  23    LVR 4  0    3.3  5.3   0.83  1.33  WR
336           Daniel Bellinger    3.3   2025  25    NYG 4  0    3.3  6.3   0.83  1.58  TE
337              Tanner Conner    3.3   2025  27    MIA 4  0    3.3  6.3   0.83  1.58  TE
338               Ashton Dulin    3.3   2025  28    IND 4  1    3.3  4.3   0.83  1.08  WR
339              Nikko Remigio    3.2   2025  26    KAN 4  0    3.2  4.2   0.80  1.05  WR
340               Chris Brooks    3.1   2025  25    GNB 4  0    3.1  8.1   0.78  2.03  RB
341              Justin Watson    3.0   2025  29    HOU 2  0    3.0  6.0   1.50  3.00  WR
342                  Zay Jones    2.9   2025  30    ARI 3  0    2.9  5.9   0.97  1.97  WR
343                Mo Alie-Cox    2.8   2025  32    IND 4  1    2.8  4.8   0.70  1.20  TE
344            Julius Chestnut    2.8   2025  25    TEN 4  0    2.8  2.8   0.70  0.70  RB
345                  Ray Davis    2.8   2025  26    BUF 4  0    2.8  3.8   0.70  0.95  RB
346              Nathan Carter    2.6   2025  23    ATL 2  0    2.6  2.6   1.30  1.30  RB
347               Chris Godwin    2.6   2025  29    TAM 1  1    2.6  5.6   2.60  5.60  WR
348               Will Shipley    2.6   2025  23    PHI 2  0    2.6  2.6   1.30  1.30  RB
349      Nick Westbrook-Ikhine    2.6   2025  28    MIA 4  0    2.6  6.6   0.65  1.65  WR
350                Will Dissly    2.5   2025  29    LAC 2  1    2.5  4.5   1.25  2.25  TE
351              Van Jefferson    2.4   2025  29    TEN 4  0    2.4  6.4   0.60  1.60  WR
352             Tyrell Shavers    2.4   2025  26    BUF 4  0    2.4  4.4   0.60  1.10  WR
353           Grant Calcaterra    2.2   2025  27    PHI 4  2    2.2  4.2   0.55  1.05  TE
354                  Noah Gray    2.2   2025  26    KAN 4  1    2.2  8.2   0.55  2.05  TE
355              George Holani    2.2   2025  26    SEA 4  0    2.2  4.2   0.55  1.05  RB
356              Charlie Kolar    2.2   2025  26    BAL 4  2    2.2  4.2   0.55  1.05  TE
357                Cade Stover    2.2   2025  25    HOU 1  1    2.2  6.2   2.20  6.20  TE
358          Terrance Ferguson    2.1   2025  22    LAR 3  0    2.1  3.1   0.70  1.03  TE
359              Kaleb Johnson    2.1   2025  22    PIT 3  0    2.1  2.1   0.70  0.70  RB
360            Jacardia Wright    2.0   2025  25    SEA 1  0    2.0  2.0   2.00  2.00  RB
361                  Cam Akers    1.9   2025  26    MIN 2  0    1.9  1.9   0.95  0.95  RB
362             Trevor Etienne    1.9   2025  21    CAR 4  0    1.9  2.9   0.48  0.73  RB
363                Dylan Laube    1.9   2025  26    LVR 4  0    1.9  3.9   0.48  0.98  RB
364               Tyson Bagent    1.8   2025  25    CHI 1  0    1.8  1.8   1.80  1.80  QB
365                 Pat Bryant    1.8   2025  23    DEN 4  0    1.8  3.8   0.45  0.95  WR
366               Chimere Dike    1.8   2025  24    TEN 4  2    1.8  6.8   0.45  1.70  WR
367               John Metchie    1.8   2025  25    PHI 4  0    1.8  5.8   0.45  1.45  WR
368                 Tip Reiman    1.8   2025  24    ARI 3  2    1.8  4.8   0.60  1.60  TE
369              Josh Reynolds    1.8   2025  30    NYJ 2  1    1.8  3.8   0.90  1.90  WR
370              Jamari Thrash    1.8   2025  25    CLE 4  0    1.8  5.8   0.45  1.45  WR
371   Marquez Valdes-Scantling    1.8   2025  31    SFO 4  0    1.8  3.8   0.45  0.95  WR
372              Kyle Williams    1.8   2025  23    NWE 4  0    1.8  3.8   0.45  0.95  WR
373                  Jake Bobo    1.7   2025  27    SEA 3  0    1.7  2.7   0.57  0.90  WR
374                Tahj Brooks    1.7   2025  23    CIN 4  0    1.7  1.7   0.43  0.43  RB
375            DWayne Eskridge    1.7   2025  28    MIA 4  0    1.7  3.7   0.43  0.93  WR
376             James Mitchell    1.7   2025  26    CAR 1  0    1.7  3.7   1.70  3.70  TE
377                David Moore    1.7   2025  30    CAR 4  2    1.7  2.7   0.43  0.68  WR
378                Cooper Rush    1.7   2025  32    BAL 2  0    1.7  1.7   0.85  0.85  QB
379                Zach Wilson    1.6   2025  26    MIA 1  0    1.6  1.6   1.60  1.60  QB
380                Lucas Krull    1.5   2025  27    DEN 3  3    1.5  3.5   0.50  1.17  TE
381                Tim Patrick    1.5   2025  32    JAX 4  0    1.5  3.5   0.38  0.88  WR
382                Alec Ingold    1.4   2025  29    MIA 4  2    1.4  4.4   0.35  1.10  FB
383                 Tay Martin    1.4   2025  28    WAS 1  0    1.4  2.4   1.40  2.40  WR
384                Tez Johnson    1.3   2025  23    TAM 3  1    1.3  2.3   0.43  0.77  WR
385           Luke Schoonmaker    1.3   2025  27    DAL 4  1    1.3  4.3   0.33  1.08  TE
386                Tank Bigsby    1.2   2025  24 JAXPHI 4  0    1.2  1.2   0.30  0.30  RB
387                Max Brosmer    1.2   2025  24    MIN 1  0    1.2  1.2   1.20  1.20  QB
388               Kirk Cousins    1.2   2025  37    ATL 1  0    1.2  1.2   1.20  1.20  QB
